sentence,drug,drug_start,drug_end,effect,effect_start,effect_end
"A 33-year-old man with a history of recreational benztropine abuse presented to the emergency department with confusion, abdominal pain, and distention.",benztropine,49,60,confusion,110,119
"A 33-year-old man with a history of recreational benztropine abuse presented to the emergency department with confusion, abdominal pain, and distention.",benztropine,49,60,distention,141,151
Agranulocytosis and granulocytopenia associated with quetiapine.,quetiapine,53,63,Agranulocytosis,0,15
Agranulocytosis and granulocytopenia associated with quetiapine.,quetiapine,53,63,granulocytopenia,20,36
"CONCLUSION: Although a definite association has not been proven, clinicians should be aware of the possibility of agranulocytosis while using quetiapine.",quetiapine,142,152,agranulocytosis,114,129
METHOD: We describe three case-reports concerning haematological adverse effects of quetiapine.,quetiapine,84,94,haematological adverse effects,50,80
RESULTS: Quetiapine was associated with leucopenia in two patients and clinically apparent agranulocytosis in one patient.,Quetiapine,9,19,agranulocytosis,91,106
RESULTS: Quetiapine was associated with leucopenia in two patients and clinically apparent agranulocytosis in one patient.,Quetiapine,9,19,leucopenia,40,50
CONCLUSIONS: There is very little published information regarding ofloxacin-induced toxic epidermal necrolysis.,ofloxacin,66,75,toxic epidermal necrolysis,84,110
"However, a large case-control study included three cases of either Stevens-Johnson syndrome or toxic epidermal necrolysis associated with ofloxacin use, but no details of the cases were given.",ofloxacin,138,147,Stevens-Johnson syndrome,67,91
"However, a large case-control study included three cases of either Stevens-Johnson syndrome or toxic epidermal necrolysis associated with ofloxacin use, but no details of the cases were given.",ofloxacin,138,147,toxic epidermal necrolysis,95,121
It is hoped that this case report creates awareness that ofloxacin-induced toxic epidermal necrolysis is possible.,ofloxacin,57,66,toxic epidermal necrolysis,75,101
OBJECTIVE: To report a fatal case of toxic epidermal necrolysis in a man who was treated with oral ofloxacin for epididymitis.,ofloxacin,99,108,toxic epidermal necrolysis,37,63
Ofloxacin: a probable cause of toxic epidermal necrolysis.,Ofloxacin,0,9,toxic epidermal necrolysis,31,57
This report rules out other causes of toxic epidermal necrolysis and implicates ofloxacin in what appears to be an atypical presentation of drug-induced toxic epidermal necrolysis.,ofloxacin,80,89,toxic epidermal necrolysis,38,64
This report rules out other causes of toxic epidermal necrolysis and implicates ofloxacin in what appears to be an atypical presentation of drug-induced toxic epidermal necrolysis.,ofloxacin,80,89,toxic epidermal necrolysis,38,64
A boy with chronic neutropenia and recurrent inflammatory skin lesions developed multiple erythematous nodules following administration of G-CSF.,G-CSF,139,144,multiple erythematous nodules,81,110
A girl with cystic fibrosis and cyclic neutropenia developed an erythematous papular eruption without fever or neutrophilia 7 months after commencing therapy with G-CSF.,G-CSF,163,168,erythematous papular eruption,64,93
Neutrophilic dermatoses in two children with idiopathic neutropenia: association with granulocyte colony-stimulating factor (G-CSF) therapy.,G-CSF,125,130,Neutrophilic dermatoses,0,23
Neutrophilic dermatoses in two children with idiopathic neutropenia: association with granulocyte colony-stimulating factor (G-CSF) therapy.,granulocyte colony-stimulating factor,86,123,Neutrophilic dermatoses,0,23
Painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (G-CSF) for treatment of idiopathic neutropenia.,G-CSF,113,118,neutrophilic skin lesions,8,33
Painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (G-CSF) for treatment of idiopathic neutropenia.,granulocyte colony-stimulating factor,74,111,neutrophilic skin lesions,8,33
Painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (G-CSF) for treatment of idiopathic neutropenia.,G-CSF,113,118,Painful,0,7
Painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (G-CSF) for treatment of idiopathic neutropenia.,granulocyte colony-stimulating factor,74,111,Painful,0,7
We believe that these skin eruptions belong to a spectrum of neutrophilic dermatoses that can be induced or aggravated by G-CSF therapy.,G-CSF,122,127,neutrophilic dermatoses,61,84
We believe that these skin eruptions belong to a spectrum of neutrophilic dermatoses that can be induced or aggravated by G-CSF therapy.,G-CSF,122,127,skin eruptions,22,36
There is a putative role of liothyronine administration in precipitating or activating hyperthyroidism.,liothyronine,28,40,hyperthyroidism,87,102
Triiodothyronine-induced thyrotoxicosis in ophthalmic Graves disease.,Triiodothyronine,0,16,thyrotoxicosis,25,39
This case report describes the development of asymptomatic visual field defects (VFDs) in a psychiatric patient with bipolar disorder receiving adjunctive tiagabine treatment.,tiagabine,155,164,VFDs,81,85
This case report describes the development of asymptomatic visual field defects (VFDs) in a psychiatric patient with bipolar disorder receiving adjunctive tiagabine treatment.,tiagabine,155,164,visual field defects,59,79
Pulmonary toxicity with mefloquine.,mefloquine,24,34,Pulmonary toxicity,0,18
This is the second report of acute lung injury and diffuse alveolar damage caused by mefloquine.,mefloquine,85,95,acute lung injury,29,46
This is the second report of acute lung injury and diffuse alveolar damage caused by mefloquine.,mefloquine,85,95,diffuse alveolar damage,51,74
"This report presents a case of acute lung injury developing within hours after administration of mefloquine for a low-level Plasmodium falciparum malaria, which was persistent despite halofantrine therapy.",mefloquine,97,107,acute lung injury,31,48
An adult male presented with central blindness after ingesting methanol.,methanol,63,71,central blindness,29,46
Reversal of severe methanol-induced visual impairment: no evidence of retinal toxicity due to fomepizole.,methanol,19,27,visual impairment,36,53
Extra caution should be taken in using octreotide or its long-acting analog in patients otherwise predisposed to intrahepatic bile stasis.,octreotide,39,49,intrahepatic bile stasis,113,137
Gallstones and bile sludge are common side effects of octreotide therapy but rarely become symptomatic or require treatment.,octreotide,54,64,bile sludge,15,26
Gallstones and bile sludge are common side effects of octreotide therapy but rarely become symptomatic or require treatment.,octreotide,54,64,Gallstones,0,10
Hepatolithiasis (intrahepatic stone) during octreotide therapy for acromegaly: a case report.,octreotide,44,54,Hepatolithiasis,0,15
"In addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation.",octreotide,55,65,alters bile acid composition,66,94
"In addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation.",octreotide,55,65,gallbladder stasis,35,53
"In addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation.",octreotide,55,65,hasten intrahepatic sludge,108,134
"In addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation.",octreotide,55,65,stone formation,139,154
This is the first reported case of hepatolithiasis during octreotide therapy.,octreotide,58,68,hepatolithiasis,35,50
We report a case of hepatolithiasis (intrahepatic stone) complicated by gram-negative sepsis in a 37 year old male with acromegaly being treated with octreotide.,octreotide,150,160,hepatolithiasis,20,35
"However, in the mid-to-late 1980s, a series of letters to the editor and case reports announced an association between tamoxifen therapy in women with breast cancer and the development of endometrial carcinoma.",tamoxifen,119,128,endometrial carcinoma,188,209
"In this healthy population, the relative risk of developing endometrial carcinoma in the tamoxifen arm was 2.54, although when stratified by age, in women over 50, the risk grew to 4.01.",tamoxifen,89,98,endometrial carcinoma,60,81
"INH, which is a leading cause of drug eruptions in the above group of drugs was withdrawn.",INH,0,3,drug eruptions,33,47
Isonicotinic acid hydrazide induced anagen effluvium and associated lichenoid eruption.,Isonicotinic acid hydrazide,0,27,anagen effluvium,36,52
Isonicotinic acid hydrazide induced anagen effluvium and associated lichenoid eruption.,Isonicotinic acid hydrazide,0,27,lichenoid eruption,68,86
Such anagen effluvium with lichenoid eruption following INH therapy has not been observed previously.,INH,56,59,anagen effluvium,5,21
Such anagen effluvium with lichenoid eruption following INH therapy has not been observed previously.,INH,56,59,lichenoid eruption,27,45
Linear IgA bullous dermatosis occurring after carbamazepine.,carbamazepine,46,59,Linear IgA bullous dermatosis,0,29
We report a patient who experienced LABD shortly after starting carbamazepine therapy.,carbamazepine,64,77,LABD,36,40
"After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.",metoclopramide,23,37,agitation,99,108
"After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.",metoclopramide,23,37,confusion,88,97
"After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.",metoclopramide,23,37,diaphoresis,117,128
"After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.",metoclopramide,23,37,fever,110,115
"After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.",metoclopramide,23,37,hypertension,158,170
"After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.",metoclopramide,23,37,tachycardia,141,152
